year,co2_rescale,ch4_rescale,sf6_rescale,n2o_rescale
2012.083333,0.474264008,0.290817659,0.435054773,0.446646341
2012.166667,0.488129155,0.297021944,0.439749609,0.450203252
2012.25,0.498575499,0.308254963,0.444444444,0.449695122
2012.333333,0.532573599,0.298066876,0.447574335,0.447662602
2012.416667,0.543019943,0.273902821,0.450704225,0.446646341
2012.5,0.523646724,0.249542842,0.453834116,0.444613821
2012.583333,0.498005698,0.238571055,0.455399061,0.445121951
2012.666667,0.460588794,0.264302508,0.458528951,0.450203252
2012.75,0.436467236,0.309430512,0.463223787,0.457825203
2012.833333,0.435517569,0.339537618,0.469483568,0.465955285
2012.916667,0.472174739,0.346852142,0.475743349,0.473577236
2013,0.498195632,0.33868861,0.478873239,0.478658537
2013.083333,0.521177588,0.335096656,0.483568075,0.481199187
2013.166667,0.544919278,0.335488506,0.488262911,0.483231707
2013.25,0.55688509,0.330002612,0.491392801,0.486280488
2013.333333,0.575498575,0.327129049,0.496087637,0.489329268
2013.416667,0.601709402,0.321185998,0.499217527,0.492886179
2013.5,0.578727445,0.299634274,0.502347418,0.49695122
2013.583333,0.554036087,0.282392894,0.505477308,0.50050813
2013.666667,0.51377018,0.298981191,0.508607199,0.50152439
2013.75,0.482051282,0.336598746,0.513302034,0.505081301
2013.833333,0.485470085,0.36415883,0.51799687,0.512703252
2013.916667,0.51320038,0.37611024,0.524256651,0.521341463
2014,0.544919278,0.369905956,0.527386541,0.528455285
2014.083333,0.564102564,0.353317659,0.532081377,0.533536585
2014.166667,0.568471035,0.35031348,0.535211268,0.536077236
2014.25,0.599620133,0.361938349,0.539906103,0.539126016
2014.333333,0.630009497,0.379767503,0.546165884,0.542682927
2014.416667,0.638556505,0.386298328,0.55086072,0.544207317
2014.5,0.628490028,0.363179206,0.55399061,0.547764228
2014.583333,0.587464387,0.344762278,0.558685446,0.554878049
2014.666667,0.547768281,0.372061129,0.561815336,0.5625
2014.75,0.516619183,0.418952456,0.566510172,0.570121951
2014.833333,0.528395062,0.447165622,0.572769953,0.579776423
2014.916667,0.551946819,0.459182341,0.579029734,0.589430894
2015,0.583855651,0.462317137,0.58372457,0.597560976
2015.083333,0.604748338,0.458137409,0.58685446,0.603658537
2015.166667,0.611775878,0.457092476,0.591549296,0.606707317
2015.25,0.634377968,0.45957419,0.596244131,0.606199187
2015.333333,0.664957265,0.460423197,0.599374022,0.602642276
2015.416667,0.680151947,0.451018809,0.602503912,0.600101626
2015.5,0.657739791,0.422021944,0.605633803,0.602134146
2015.583333,0.629059829,0.405172414,0.607198748,0.606199187
2015.666667,0.584425451,0.434038662,0.611893584,0.610264228
2015.75,0.559924027,0.480407524,0.616588419,0.616361789
2015.833333,0.572649573,0.514433124,0.6228482,0.62550813
2015.916667,0.60645774,0.535527691,0.629107981,0.635162602
2016,0.64045584,0.536637931,0.633802817,0.643292683
2016.083333,0.653181387,0.520180251,0.638497653,0.648373984
2016.166667,0.682051282,0.515151515,0.643192488,0.649898374
2016.25,0.697435897,0.524229363,0.647887324,0.648882114
2016.333333,0.745679012,0.528996865,0.65258216,0.648882114
2016.416667,0.751377018,0.518416928,0.657276995,0.649898374
2016.5,0.734093067,0.490530303,0.660406886,0.650406504
2016.583333,0.688509022,0.466431557,0.660406886,0.646849593
2016.666667,0.647863248,0.482889237,0.661971831,0.643800813
2016.75,0.624691358,0.532066353,0.665101721,0.647357724
2016.833333,0.635327635,0.568965517,0.672926448,0.657012195
2016.916667,0.671984805,0.579153605,0.679186228,0.666158537
2017,0.689458689,0.577129049,0.685446009,0.672764228
2017.083333,0.722127255,0.568573668,0.690140845,0.678353659
2017.166667,0.727825261,0.560279519,0.694835681,0.681402439
2017.25,0.744539411,0.559038662,0.701095462,0.681910569
2017.333333,0.776448243,0.560801985,0.705790297,0.681910569
2017.416667,0.789173789,0.551397597,0.710485133,0.681402439
2017.5,0.773789174,0.524033438,0.712050078,0.68445122
2017.583333,0.740550807,0.5071186,0.715179969,0.69054878
2017.666667,0.702374169,0.534939916,0.719874804,0.695121951
2017.75,0.669135802,0.588166144,0.72456964,0.699186992
2017.833333,0.673884141,0.622648903,0.729264476,0.706300813
2017.916667,0.702184236,0.626567398,0.735524257,0.713414634
2018,0.734283001,0.613440439,0.740219092,0.720528455
2018.083333,0.756125356,0.598876698,0.744913928,0.728658537
2018.166667,0.763152896,0.602142111,0.749608764,0.736280488
2018.25,0.783475783,0.61487722,0.754303599,0.740853659
2018.333333,0.799810066,0.613505747,0.75743349,0.741869919
2018.416667,0.818613485,0.601162487,0.76056338,0.741361789
2018.5,0.810066477,0.583137409,0.765258216,0.741361789
2018.583333,0.77037037,0.563936782,0.768388106,0.743394309
2018.666667,0.737321937,0.582419018,0.773082942,0.75
2018.75,0.709781576,0.638453501,0.777777778,0.760162602
2018.833333,0.718898386,0.672675026,0.784037559,0.770833333
2018.916667,0.757264957,0.675940439,0.791862285,0.780995935
2019,0.777397911,0.674699582,0.796557121,0.791158537
2019.083333,0.810826211,0.66764629,0.799687011,0.796747967
2019.166667,0.828490028,0.667842215,0.802816901,0.794715447
2019.25,0.832668566,0.676528213,0.807511737,0.790650407
2019.333333,0.858499525,0.669866771,0.812206573,0.788109756
2019.416667,0.88357075,0.647988506,0.815336463,0.789126016
2019.5,0.870275404,0.627351097,0.818466354,0.794207317
2019.583333,0.828679962,0.623628527,0.824726135,0.799796748
2019.666667,0.794681861,0.654062173,0.827856025,0.801829268
2019.75,0.767711301,0.705721003,0.830985915,0.803861789
2019.833333,0.767521368,0.735632184,0.835680751,0.81148374
2019.916667,0.800379867,0.736677116,0.841940532,0.821138211
2020,0.828869896,0.731191223,0.845070423,0.828760163
2020.083333,0.85982906,0.720937827,0.849765258,0.833333333
2020.166667,0.873694207,0.718260188,0.854460094,0.836382114
2020.25,0.881291548,0.731452456,0.85915493,0.839939024
2020.333333,0.91377018,0.738832288,0.86228482,0.844004065
2020.416667,0.930104463,0.728578892,0.866979656,0.847560976
2020.5,0.916619183,0.712774295,0.871674491,0.852642276
2020.583333,0.879012346,0.710227273,0.874804382,0.860264228
2020.666667,0.844064577,0.743077325,0.877934272,0.866869919
2020.75,0.820132953,0.796499478,0.882629108,0.87195122
2020.833333,0.81994302,0.831700627,0.887323944,0.880081301
2020.916667,0.850522317,0.843521421,0.892018779,0.890243902
2021,0.872174739,0.842933647,0.89827856,0.898882114
2021.083333,0.896106363,0.827716823,0.902973396,0.904979675
2021.166667,0.919468186,0.814851097,0.907668232,0.909044715
2021.25,0.93637227,0.822753396,0.912363067,0.911585366
2021.333333,0.963152896,0.839211076,0.918622848,0.914126016
2021.416667,0.964672365,0.841562173,0.924882629,0.916666667
2021.5,0.961063628,0.82112069,0.929577465,0.917174797
2021.583333,0.92345679,0.807340648,0.93114241,0.918191057
2021.666667,0.876163343,0.848092999,0.935837246,0.922764228
2021.75,0.853941121,0.91392372,0.940532081,0.931402439
2021.833333,0.865906933,0.94834117,0.946791862,0.941565041
2021.916667,0.886419753,0.958398642,0.954616588,0.953252033
2022,0.918708452,0.957876176,0.960876369,0.964939024
2022.083333,0.946818613,0.950822884,0.96400626,0.973577236
2022.166667,0.967521368,0.94984326,0.970266041,0.978150407
2022.25,0.958594492,0.95735371,0.974960876,0.981199187
2022.333333,0.985565052,0.960096656,0.981220657,0.983739837
2022.416667,1,0.948863636,0.985915493,0.984756098
2022.5,1,0.932928422,0.989045383,0.985264228
2022.583333,0.960303894,0.927507837,0.993740219,0.988313008
2022.666667,0.927825261,0.955263845,0.995305164,0.993394309
2022.75,0.904273504,1,1,1
0,,,,
